run_time,stay_date,adults,hotel_id,hotel_name,room_type,total,currency,address_line
2025-12-17T17:22:59,2025-12-17,2,KCMIAHA8,SURFCOMBER A KIMPTON HOTEL,KING,251.94,USD,1717 COLLINS AVENUE
2025-12-17T17:22:59,2025-12-17,4,KCMIAHA8,SURFCOMBER A KIMPTON HOTEL,DOUBLE,338.58,USD,1717 COLLINS AVENUE
2025-12-17T17:22:59,2025-12-17,2,CYMIACBC,COURTYARD SOUTH BEACH MARRIOTT,KING,237.12,USD,1530 WASHINGTON AVENUE
2025-12-17T17:23:53,2025-12-17,2,KCMIAHA8,SURFCOMBER A KIMPTON HOTEL,KING,251.94,USD,1717 COLLINS AVENUE
2025-12-17T17:23:53,2025-12-17,4,KCMIAHA8,SURFCOMBER A KIMPTON HOTEL,DOUBLE,338.58,USD,1717 COLLINS AVENUE
2025-12-17T17:23:53,2025-12-17,2,CYMIACBC,COURTYARD SOUTH BEACH MARRIOTT,KING,237.12,USD,1530 WASHINGTON AVENUE
